title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Spacious 2BHK Studio in Hitech City","Hyderabad","Hitech City","2","1105","7","22","18","Furnished","South","Studio","Buy","6927202","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Gachibowli","Hyderabad","Gachibowli","2","1178","17","21","7","Semi-Furnished","South","Independent House","Rent","27887","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Begumpet","Hyderabad","Begumpet","4","1225","10","20","25","Furnished","South-West","Apartment","Buy","6858210","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Independent House in Miyapur","Hyderabad","Miyapur","5","1332","16","18","19","Semi-Furnished","North-West","Independent House","Rent","50609","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Kukatpally","Hyderabad","Kukatpally","2","1251","20","31","20","Furnished","North","Studio","Buy","6087469","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Villa in Ameerpet","Hyderabad","Ameerpet","5","1955","16","31","11","Semi-Furnished","North-West","Villa","Buy","9959133","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Uppal","Hyderabad","Uppal","3","1655","9","15","22","Semi-Furnished","West","Builder Floor","Buy","5820926","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in LB Nagar","Hyderabad","LB Nagar","3","1257","2","6","5","Semi-Furnished","North-East","Apartment","Rent","31193","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Ameerpet","Hyderabad","Ameerpet","2","1097","18","18","12","Unfurnished","South-West","Apartment","Buy","6182606","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Dilsukhnagar","Hyderabad","Dilsukhnagar","1","893","15","20","13","Semi-Furnished","South-East","Apartment","Buy","3698588","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Kompally","Hyderabad","Kompally","4","1632","13","22","18","Furnished","South","Studio","Buy","8113372","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Kompally","Hyderabad","Kompally","1","600","16","28","1","Unfurnished","North-West","Apartment","Buy","2942769","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Kukatpally","Hyderabad","Kukatpally","1","813","6","21","13","Unfurnished","South","Builder Floor","Buy","3825127","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Secunderabad","Hyderabad","Secunderabad","3","1325","10","13","25","Unfurnished","West","Independent House","Rent","31476","","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Dilsukhnagar","Hyderabad","Dilsukhnagar","2","796","18","24","21","Semi-Furnished","South-West","Apartment","Buy","3106021","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Kukatpally","Hyderabad","Kukatpally","2","998","14","18","18","Unfurnished","North-East","Builder Floor","Buy","4701514","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Independent House in Ameerpet","Hyderabad","Ameerpet","5","1824","1","3","16","Unfurnished","South-East","Independent House","Rent","59192","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Dilsukhnagar","Hyderabad","Dilsukhnagar","2","1031","9","24","7","Semi-Furnished","North-West","Builder Floor","Buy","4143683","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Villa in Madhapur","Hyderabad","Madhapur","5","1568","16","23","19","Semi-Furnished","South","Villa","Buy","8150248","true","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Apartment in Secunderabad","Hyderabad","Secunderabad","1","742","1","12","11","Semi-Furnished","South-West","Apartment","Buy","3666629","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Dilsukhnagar","Hyderabad","Dilsukhnagar","2","1037","10","17","16","Unfurnished","North-West","Builder Floor","Rent","17615","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Madhapur","Hyderabad","Madhapur","2","731","3","11","1","Furnished","East","Apartment","Buy","5863519","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Kukatpally","Hyderabad","Kukatpally","3","1729","16","29","11","Furnished","South","Studio","Buy","9966968","","true","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Builder Floor in Kondapur","Hyderabad","Kondapur","5","1206","5","15","24","Unfurnished","South-West","Builder Floor","Rent","60929","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Hitech City","Hyderabad","Hitech City","3","1709","8","14","9","Semi-Furnished","South-West","Builder Floor","Buy","11530849","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Miyapur","Hyderabad","Miyapur","4","1100","12","26","25","Furnished","North-East","Apartment","Rent","45575","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Apartment in Hitech City","Hyderabad","Hitech City","1","893","20","24","13","Unfurnished","West","Apartment","Buy","5828814","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Jubilee Hills","Hyderabad","Jubilee Hills","3","887","1","14","2","Unfurnished","East","Studio","Buy","7811725","true","true","Priya Singh","+91-9765432109"
"Cozy 1BHK Builder Floor in Secunderabad","Hyderabad","Secunderabad","1","584","2","8","9","Furnished","South-East","Builder Floor","Buy","3495252","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Gachibowli","Hyderabad","Gachibowli","2","1145","3","10","7","Semi-Furnished","West","Builder Floor","Rent","26906","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Secunderabad","Hyderabad","Secunderabad","1","948","18","33","15","Unfurnished","North-West","Independent House","Buy","4381169","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Secunderabad","Hyderabad","Secunderabad","2","851","20","31","4","Furnished","North-East","Studio","Buy","5638171","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Jubilee Hills","Hyderabad","Jubilee Hills","4","1930","1","9","15","Unfurnished","North-West","Studio","Buy","15033014","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in LB Nagar","Hyderabad","LB Nagar","3","872","12","17","4","Semi-Furnished","North-West","Builder Floor","Buy","4578459","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Madhapur","Hyderabad","Madhapur","3","1767","13","18","3","Furnished","East","Villa","Buy","14486319","","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Builder Floor in Begumpet","Hyderabad","Begumpet","5","2530","2","12","7","Furnished","South-East","Builder Floor","Rent","75829","","true","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Studio in Madhapur","Hyderabad","Madhapur","5","2170","15","18","7","Semi-Furnished","East","Studio","Buy","13941087","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Banjara Hills","Hyderabad","Banjara Hills","2","802","20","31","4","Unfurnished","North-East","Villa","Buy","7894882","true","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Dilsukhnagar","Hyderabad","Dilsukhnagar","4","1282","10","24","5","Semi-Furnished","South","Builder Floor","Buy","6169328","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Begumpet","Hyderabad","Begumpet","3","1293","16","27","18","Furnished","North","Independent House","Rent","40477","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Uppal","Hyderabad","Uppal","2","1060","20","20","1","Semi-Furnished","East","Builder Floor","Buy","5937323","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Hitech City","Hyderabad","Hitech City","1","788","9","24","23","Unfurnished","North-East","Builder Floor","Buy","3968860","","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Banjara Hills","Hyderabad","Banjara Hills","2","1028","14","17","19","Semi-Furnished","North-East","Studio","Buy","8483412","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Kompally","Hyderabad","Kompally","2","1223","8","15","19","Furnished","East","Villa","Buy","5737166","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Kompally","Hyderabad","Kompally","1","1022","8","15","2","Unfurnished","South-West","Villa","Buy","5426927","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Hitech City","Hyderabad","Hitech City","4","1539","17","29","21","Unfurnished","North-West","Villa","Buy","8546430","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Begumpet","Hyderabad","Begumpet","3","1294","16","27","20","Unfurnished","East","Studio","Rent","37948","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Jubilee Hills","Hyderabad","Jubilee Hills","1","768","7","16","23","Unfurnished","North-East","Independent House","Buy","4827031","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Uppal","Hyderabad","Uppal","3","941","11","19","17","Semi-Furnished","South-West","Builder Floor","Rent","29790","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Studio in Uppal","Hyderabad","Uppal","1","1140","20","33","23","Semi-Furnished","North-East","Studio","Buy","4084923","","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Dilsukhnagar","Hyderabad","Dilsukhnagar","4","1127","6","12","17","Furnished","West","Villa","Buy","4855240","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Banjara Hills","Hyderabad","Banjara Hills","1","659","12","16","","Semi-Furnished","South","Studio","Buy","7360652","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Kompally","Hyderabad","Kompally","2","925","7","20","15","Unfurnished","South-East","Villa","Buy","4104991","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Independent House in Uppal","Hyderabad","Uppal","4","1395","12","22","7","Semi-Furnished","North-West","Independent House","Rent","42067","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Kompally","Hyderabad","Kompally","4","1607","17","18","6","Semi-Furnished","North","Studio","Buy","8427848","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Banjara Hills","Hyderabad","Banjara Hills","2","1487","","8","21","Unfurnished","North-West","Apartment","Buy","9691824","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Kukatpally","Hyderabad","Kukatpally","2","1050","2","4","23","Furnished","East","Builder Floor","Buy","5349050","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Kukatpally","Hyderabad","Kukatpally","2","896","12","26","14","Semi-Furnished","South-East","Builder Floor","Buy","4166654","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Kondapur","Hyderabad","Kondapur","3","1023","20","25","10","Furnished","South-West","Independent House","Buy","7442137","","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Builder Floor in Ameerpet","Hyderabad","Ameerpet","4","1257","5","19","25","Semi-Furnished","North-East","Builder Floor","Buy","5197602","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Miyapur","Hyderabad","Miyapur","2","1398","12","13","5","Furnished","North","Apartment","Buy","8570083","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in LB Nagar","Hyderabad","LB Nagar","2","1033","10","14","8","Furnished","North","Independent House","Buy","4924289","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Hitech City","Hyderabad","Hitech City","2","1253","13","14","24","Semi-Furnished","North-West","Independent House","Rent","28124","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Banjara Hills","Hyderabad","Banjara Hills","1","1025","","11","19","Semi-Furnished","South-East","Studio","Rent","20470","","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Hitech City","Hyderabad","Hitech City","2","727","3","8","13","Semi-Furnished","East","Independent House","Buy","4856736","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Kondapur","Hyderabad","Kondapur","3","907","9","14","6","Unfurnished","South-East","Independent House","Rent","41879","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Miyapur","Hyderabad","Miyapur","3","1399","19","28","6","Unfurnished","East","Villa","Rent","29345","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Gachibowli","Hyderabad","Gachibowli","2","1403","4","17","25","Unfurnished","North","Independent House","Rent","27329","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Uppal","Hyderabad","Uppal","4","1773","10","15","10","Unfurnished","South-West","Studio","Buy","8010201","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Kompally","Hyderabad","Kompally","2","1433","8","12","6","Furnished","South","Independent House","Buy","8541334","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Miyapur","Hyderabad","Miyapur","3","1598","9","15","19","Unfurnished","South-East","Independent House","Buy","6682842","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Miyapur","Hyderabad","Miyapur","4","2010","16","28","14","Semi-Furnished","North-East","Studio","Buy","9742065","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Gachibowli","Hyderabad","Gachibowli","2","1360","6","12","23","Furnished","South","Villa","Buy","8395216","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Kondapur","Hyderabad","Kondapur","3","1391","11","20","5","Furnished","South","Apartment","Buy","10004668","true","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Gachibowli","Hyderabad","Gachibowli","2","727","14","20","2","Unfurnished","South-East","Builder Floor","Rent","25343","","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Ameerpet","Hyderabad","Ameerpet","3","1617","15","22","8","Furnished","South-East","Studio","Buy","10731795","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Madhapur","Hyderabad","Madhapur","3","931","4","14","3","Furnished","North","Independent House","Rent","43638","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Ameerpet","Hyderabad","Ameerpet","2","1250","2","2","14","Semi-Furnished","North","Independent House","Rent","25571","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Kondapur","Hyderabad","Kondapur","3","1001","14","18","13","Furnished","South-East","Builder Floor","Buy","7051251","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in Kondapur","Hyderabad","Kondapur","3","1535","1","11","22","Furnished","South","Builder Floor","Buy","7973157","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Gachibowli","Hyderabad","Gachibowli","3","955","18","19","21","Furnished","South-West","Studio","Rent","46211","","true","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Jubilee Hills","Hyderabad","Jubilee Hills","4","2161","20","32","8","Furnished","South-West","Villa","Rent","84089","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Builder Floor in Hitech City","Hyderabad","Hitech City","1","967","19","24","5","Semi-Furnished","South-West","Builder Floor","Buy","6959037","","true","Amit Patel","+91-9654321098"
"Luxurious 5BHK Apartment in Kompally","Hyderabad","Kompally","5","1897","10","16","24","Unfurnished","South-West","Apartment","Buy","6555192","","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Dilsukhnagar","Hyderabad","Dilsukhnagar","2","1488","2","13","22","Unfurnished","North","Apartment","Buy","5193627","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Hitech City","Hyderabad","Hitech City","3","1262","17","17","22","Unfurnished","North","Studio","Buy","6903420","","true","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Apartment in Miyapur","Hyderabad","Miyapur","5","1626","8","22","9","Unfurnished","South-West","Apartment","Rent","46640","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Kompally","Hyderabad","Kompally","2","1369","","12","21","Unfurnished","South-East","Studio","Rent","19351","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Jubilee Hills","Hyderabad","Jubilee Hills","3","1833","18","31","5","Semi-Furnished","South-West","Studio","Rent","61455","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Apartment in LB Nagar","Hyderabad","LB Nagar","5","1878","3","10","16","Furnished","South-East","Apartment","Buy","8011370","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Kompally","Hyderabad","Kompally","2","712","4","7","22","Semi-Furnished","South-West","Builder Floor","Buy","2641158","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Secunderabad","Hyderabad","Secunderabad","2","1266","5","11","5","Furnished","South-East","Apartment","Buy","7481411","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Begumpet","Hyderabad","Begumpet","2","955","","","25","Furnished","East","Studio","Buy","4809791","","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Builder Floor in Kondapur","Hyderabad","Kondapur","5","2217","17","30","4","Furnished","West","Builder Floor","Buy","15810373","true","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Banjara Hills","Hyderabad","Banjara Hills","3","1653","17","19","15","Unfurnished","North-West","Studio","Buy","14640792","true","true","Priya Singh","+91-9765432109"
"Cozy 1BHK Independent House in Kukatpally","Hyderabad","Kukatpally","1","575","9","15","23","Semi-Furnished","North-West","Independent House","Buy","2569968","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Miyapur","Hyderabad","Miyapur","1","723","3","15","14","Semi-Furnished","North-West","Independent House","Buy","3039310","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Builder Floor in Kondapur","Hyderabad","Kondapur","5","1260","4","15","5","Unfurnished","North-West","Builder Floor","Buy","8599568","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Kondapur","Hyderabad","Kondapur","3","1334","1","9","18","Furnished","North-West","Apartment","Buy","8538286","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Ameerpet","Hyderabad","Ameerpet","3","1572","4","19","22","Furnished","North-East","Apartment","Rent","36894","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Kompally","Hyderabad","Kompally","2","1098","11","16","18","Unfurnished","South","Apartment","Buy","4225205","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Madhapur","Hyderabad","Madhapur","3","1436","20","24","5","Semi-Furnished","South-East","Apartment","Rent","43930","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Kondapur","Hyderabad","Kondapur","4","1356","17","23","","Semi-Furnished","South","Independent House","Rent","55242","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Builder Floor in Kondapur","Hyderabad","Kondapur","1","856","8","8","20","Unfurnished","West","Builder Floor","Buy","4386529","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Apartment in Uppal","Hyderabad","Uppal","4","1613","7","17","20","Unfurnished","East","Apartment","Rent","37461","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Ameerpet","Hyderabad","Ameerpet","4","2185","5","5","7","Furnished","South","Builder Floor","Rent","55491","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Gachibowli","Hyderabad","Gachibowli","2","1321","4","5","20","Furnished","South-West","Villa","Buy","8536057","","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Banjara Hills","Hyderabad","Banjara Hills","3","967","2","5","3","Furnished","East","Apartment","Buy","9985137","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Banjara Hills","Hyderabad","Banjara Hills","3","1540","15","17","19","Unfurnished","South","Apartment","Buy","12506624","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Miyapur","Hyderabad","Miyapur","2","960","9","19","10","Unfurnished","South-West","Builder Floor","Buy","4363942","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Ameerpet","Hyderabad","Ameerpet","3","1048","16","16","24","Furnished","South-West","Villa","Rent","41550","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Banjara Hills","Hyderabad","Banjara Hills","2","701","1","10","19","Unfurnished","South-East","Apartment","Rent","38169","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Kondapur","Hyderabad","Kondapur","3","1648","8","20","10","Furnished","South-West","Apartment","Buy","11465117","true","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Miyapur","Hyderabad","Miyapur","4","1557","20","32","7","Semi-Furnished","West","Independent House","Rent","42161","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Begumpet","Hyderabad","Begumpet","1","1141","20","26","10","Semi-Furnished","North","Studio","Buy","6701737","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Banjara Hills","Hyderabad","Banjara Hills","3","1261","15","21","15","Semi-Furnished","South-West","Apartment","Rent","62897","","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Madhapur","Hyderabad","Madhapur","2","982","8","18","16","Unfurnished","East","Villa","Buy","5296526","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Begumpet","Hyderabad","Begumpet","3","956","3","13","14","Unfurnished","North-East","Villa","Rent","35635","true","true","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Gachibowli","Hyderabad","Gachibowli","1","1081","9","16","23","Semi-Furnished","North-West","Builder Floor","Rent","15081","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Ameerpet","Hyderabad","Ameerpet","3","1390","16","22","22","Semi-Furnished","North-East","Independent House","Buy","6551608","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Kompally","Hyderabad","Kompally","3","1799","18","31","14","Furnished","South-East","Independent House","Buy","9381931","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Hitech City","Hyderabad","Hitech City","2","1069","7","11","6","Unfurnished","North-East","Villa","Rent","27777","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Gachibowli","Hyderabad","Gachibowli","1","929","8","12","8","Furnished","South","Villa","Buy","6689530","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Banjara Hills","Hyderabad","Banjara Hills","3","1267","4","15","2","Semi-Furnished","West","Studio","Buy","12773350","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Uppal","Hyderabad","Uppal","3","955","10","17","9","Furnished","South","Villa","Buy","4604138","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Builder Floor in Hitech City","Hyderabad","Hitech City","4","1809","9","21","","Furnished","North","Builder Floor","Rent","65206","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Apartment in Begumpet","Hyderabad","Begumpet","1","553","20","27","6","Unfurnished","South-East","Apartment","Buy","3211036","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Hitech City","Hyderabad","Hitech City","2","962","7","17","10","Unfurnished","East","Apartment","Rent","29155","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Miyapur","Hyderabad","Miyapur","2","1331","18","23","1","Semi-Furnished","East","Independent House","Rent","21527","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in Gachibowli","Hyderabad","Gachibowli","3","1333","1","6","19","Semi-Furnished","East","Builder Floor","Buy","7276953","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Apartment in Hitech City","Hyderabad","Hitech City","5","1990","13","25","10","Unfurnished","North-West","Apartment","Buy","13049568","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Studio in Miyapur","Hyderabad","Miyapur","5","2090","4","15","17","Unfurnished","East","Studio","Buy","8132311","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in LB Nagar","Hyderabad","LB Nagar","2","1265","3","4","8","Unfurnished","North","Studio","Rent","17318","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Banjara Hills","Hyderabad","Banjara Hills","1","556","","4","22","Unfurnished","South-East","Apartment","Rent","18892","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Kondapur","Hyderabad","Kondapur","2","842","13","20","13","Unfurnished","North-East","Independent House","Rent","26696","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Jubilee Hills","Hyderabad","Jubilee Hills","2","709","19","33","1","Furnished","North","Villa","Rent","39446","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Villa in Hitech City","Hyderabad","Hitech City","1","571","13","25","21","Semi-Furnished","East","Villa","Rent","16066","","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Madhapur","Hyderabad","Madhapur","3","1344","6","16","2","Semi-Furnished","North-West","Independent House","Rent","39239","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Madhapur","Hyderabad","Madhapur","3","1027","3","9","8","Unfurnished","South-East","Builder Floor","Rent","37151","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Builder Floor in Kondapur","Hyderabad","Kondapur","1","949","2","8","5","Unfurnished","West","Builder Floor","Buy","6304692","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Dilsukhnagar","Hyderabad","Dilsukhnagar","1","1086","2","2","22","Unfurnished","South","Independent House","Rent","8113","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Uppal","Hyderabad","Uppal","2","795","7","18","24","Unfurnished","South-East","Studio","Rent","19791","","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Kukatpally","Hyderabad","Kukatpally","3","1326","17","19","25","Semi-Furnished","East","Builder Floor","Rent","32965","true","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Secunderabad","Hyderabad","Secunderabad","4","1437","6","18","17","Semi-Furnished","East","Builder Floor","Buy","7018996","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Shivajinagar","Pune","Shivajinagar","3","1373","14","24","","Semi-Furnished","South-West","Villa","Buy","10920197","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Pimple Saudagar","Pune","Pimple Saudagar","1","916","17","19","3","Furnished","East","Studio","Rent","13777","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Baner","Pune","Baner","3","1749","14","29","8","Unfurnished","South-East","Villa","Rent","46971","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Studio in Kharadi","Pune","Kharadi","1","1063","2","13","20","Semi-Furnished","South","Studio","Buy","5726279","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Baner","Pune","Baner","2","1228","17","20","10","Semi-Furnished","West","Apartment","Buy","8538155","true","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Aundh","Pune","Aundh","2","1287","17","20","1","Furnished","West","Villa","Buy","10181690","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Sinhagad Road","Pune","Sinhagad Road","3","1337","18","28","16","Furnished","North-West","Studio","Buy","6445022","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Pimple Saudagar","Pune","Pimple Saudagar","2","1042","2","9","12","Semi-Furnished","South-East","Studio","Buy","5647535","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Hadapsar","Pune","Hadapsar","1","619","8","19","11","Furnished","North","Studio","Buy","3992461","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Sinhagad Road","Pune","Sinhagad Road","1","1097","16","17","20","Semi-Furnished","North","Villa","Rent","10886","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Builder Floor in Sinhagad Road","Pune","Sinhagad Road","1","914","7","8","8","Furnished","South","Builder Floor","Buy","5048238","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Bhosari","Pune","Bhosari","3","1735","18","24","2","Furnished","West","Builder Floor","Rent","33427","true","","Rajesh Kumar","+91-9432109876"
